draft_id	stem
AY26-B014-CV-FH-001	a 19 year old man is evaluated after his father has a myocardial infarction at age 38 his fasting ldl cholesterol is 332 mg dl and triglycerides are normal firm nodules are present along both achilles tendons cultured hepatocytes bind fluorescently labeled ldl normally at the cell surface but the receptor ligand complexes fail to cluster in coated pits and remain on the plasma membrane which cellular process is primarily defective
AY26-B014-CV-EISENMENGER-001	a 27 year old woman with an unrepaired large ventricular septal defect develops progressive exertional dyspnea digital clubbing and resting oxygen saturation of 84 the loud holosystolic murmur documented in childhood is now faint and the pulmonic component of s2 is accentuated echocardiography shows bidirectional flow across the defect which hemodynamic change most directly produced the current right to left component
AY26-B014-CV-COARCTATION-001	a 34 year old man has headaches and exertional leg fatigue blood pressure is 176 92 mm hg in both arms and 112 70 mm hg in the legs femoral pulses are delayed chest radiography shows inferior notching of ribs 4 through 8 which collateral pathway most directly accounts for the rib changes and distal aortic perfusion
AY26-B014-RENAL-MCD-001	a 6 year old boy develops periorbital edema 1 week after an upper respiratory illness urinalysis shows 4 protein without blood serum albumin is low and complement levels are normal he rapidly enters remission after glucocorticoid therapy which renal biopsy pattern is most likely
AY26-B014-RENAL-IGA-001	a 17 year old boy has visible hematuria beginning 24 hours after the onset of pharyngitis serum complement concentrations are normal kidney biopsy shows mesangial hypercellularity and granular mesangial iga deposition which sequence best describes the disease mechanism
AY26-B014-RENAL-RTA4-001	a 63 year old man with diabetic nephropathy takes lisinopril laboratory studies show potassium 6 0 meq l chloride 113 meq l bicarbonate 17 meq l and a normal anion gap urine ph is 5 1 and the urine anion gap is positive which mechanism best explains the impaired net acid excretion
AY26-B014-HEME-HEMOPHILIA-A-001	a 9 year old boy has recurrent painful knee swelling after minor trauma platelet count and prothrombin time are normal but activated partial thromboplastin time is prolonged and immediately corrects after mixing patient plasma 1 1 with normal plasma factor viii activity is markedly reduced which reaction is most directly impaired
AY26-B014-HEME-CML-001	a 55 year old man has early satiety and a spleen palpable 8 cm below the costal margin leukocyte count is 148 000 mm3 with neutrophils myelocytes metamyelocytes and increased basophils leukocyte alkaline phosphatase activity is low cytogenetic analysis detects t 9 22 q34 q11 2 which molecular consequence drives this disorder
AY26-B014-HEME-HODGKIN-001	a 24 year old woman has painless cervical lymphadenopathy pruritus and a mediastinal mass lymph node biopsy shows scattered large binucleate cells with prominent nucleoli that express cd30 and cd15 with weak pax5 staining most cells in the specimen are small t lymphocytes eosinophils plasma cells and macrophages why do nonmalignant cells comprise most of the mass
AY26-B014-IMM-DIGEORGE-001	a newborn has truncus arteriosus and develops tetany on the second day of life calcium is low parathyroid hormone is low and chest radiography shows no thymic shadow flow cytometry shows markedly reduced mature t lymphocytes which developmental defect best explains this combination
AY26-B014-IMM-ADA-SCID-001	a 4 month old infant has persistent oral candidiasis chronic diarrhea pneumonia and failure to thrive the thymic shadow is absent and circulating t b and nk lymphocytes are all markedly reduced erythrocytes contain high concentrations of deoxyadenosine nucleotides which biochemical event most directly impairs lymphocyte proliferation
AY26-B014-NEURO-ALZHEIMER-001	a 52 year old woman develops progressive impairment of recent memory and executive function her mother and two maternal uncles had dementia before age 60 genetic testing identifies a pathogenic variant near an amyloid precursor protein cleavage site that increases the a 42 to a 40 ratio which processing pathway generates the aggregation prone peptide
AY26-B014-NEURO-HUNTINGTON-001	a 31 year old man develops irritability depression and involuntary dance like movements mri shows caudate atrophy with enlargement of the frontal horns of the lateral ventricles his father developed similar symptoms at age 49 molecular testing confirms an expanded cag tract in htt which process best explains the son s earlier onset
AY26-B014-NEURO-ABSENCE-001	a 7 year old girl has dozens of daily episodes in which she abruptly stops speaking stares and resumes activity 8 seconds later without confusion hyperventilation in clinic provokes an event eeg shows generalized 3 hz spike and wave discharges which drug action most selectively treats this seizure type
AY26-B014-TOX-ORGANOPHOSPHATE-001	a farm worker is brought to the emergency department after pesticide exposure he has miosis bronchorrhea wheezing vomiting diarrhea bradycardia muscle fasciculations and confusion atropine is given immediately followed by pralidoxime why does the benefit of pralidoxime decrease when administration is substantially delayed
AY26-B014-TOX-ACETAMINOPHEN-001	a 22 year old woman presents 10 hours after ingesting a large amount of acetaminophen she initially had nausea but now feels better serum testing indicates a toxic exposure and n acetylcysteine is started which action of this antidote most directly limits hepatic injury
AY26-B014-GI-FAP-001	a 16 year old boy undergoes colonoscopy because his father had colectomy at age 25 hundreds of adenomatous polyps carpet the colon genetic testing identifies a germline loss of function variant in apc which intracellular consequence initiates adenoma formation
AY26-B014-GI-HEMOCHROMATOSIS-001	a 52 year old man has fatigue bronze skin diabetes second and third metacarpophalangeal arthropathy and elevated aminotransferases transferrin saturation is 82 and ferritin is markedly elevated he is homozygous for hfe c282y which regulatory abnormality most directly causes progressive iron loading
AY26-B014-ENDO-MEN2-001	a 29 year old woman has a thyroid nodule episodic headache diaphoresis and severe hypertension her father had medullary thyroid carcinoma and a paternal aunt had pheochromocytoma fine needle aspiration of the thyroid lesion shows calcitonin positive cells which inherited molecular alteration is most likely
AY26-B014-ENDO-ADDISON-001	a 36 year old woman has progressive fatigue weight loss salt craving postural dizziness and diffuse darkening of palmar creases and oral mucosa sodium is 126 meq l potassium is 5 8 meq l morning cortisol is low and acth is markedly elevated which mechanism causes the hyperpigmentation
