draft_id	batch_file	stem_html_json
AY26-B012-CV-AORTIC-DISSECTION-001	batch-012-01-acute-aortic-dissection.json	"<p>A 52-year-old man with tall stature, pectus deformity, and a family history of sudden death develops abrupt chest pain while lifting a heavy box. The pain reaches maximal intensity immediately and radiates between the scapulae. Blood pressure is 178/92 mm Hg in the right arm and 142/78 mm Hg in the left. A new early diastolic murmur is present. CT angiography demonstrates a flap beginning in the ascending aorta and extending into the arch; the right renal artery intermittently fills from a compressed true lumen.</p><p><strong>Which mechanism best explains the episodic reduction in right renal perfusion?</strong></p>"
AY26-B012-PULM-PLEURAL-EFFUSION-001	batch-012-02-pleural-effusion.json	"<p>A 71-year-old woman with decompensated heart failure receives intravenous loop diuretics for 3 days. Her dyspnea improves, but a moderate unilateral pleural effusion persists. Pleural fluid protein is 3.3 g/dL, serum protein is 6.0 g/dL, pleural LDH is 150 U/L, and serum LDH is 230 U/L. The serum-to-pleural albumin gradient is 1.4 g/dL. Cultures and cytology are negative.</p><p><strong>Why can this hydrostatic effusion satisfy exudative Light criteria after treatment?</strong></p>"
AY26-B012-PULM-ARDS-001	batch-012-03-acute-respiratory-distress-syndrome.json	"<p>A 46-year-old man is admitted with septic shock from an obstructed urinary tract. Two days later, he develops severe hypoxemia, bilateral air-space opacities, and a PaO2/FIO2 ratio of 92 despite positive-pressure ventilation. Echocardiography shows normal left ventricular systolic function. A pressure-volume curve demonstrates markedly reduced lung compliance. An illustrated lung section shows eosinophilic material lining collapsed alveoli.</p><p><strong>Which primary pathophysiologic change produced these findings?</strong></p>"
AY26-B012-MSK-SCAPHOID-001	batch-012-04-scaphoid-fracture.json	"<p>A 24-year-old cyclist falls onto an outstretched hand. He has focal tenderness in the anatomic snuffbox, but initial radiographs show no fracture. The wrist is immobilized. Repeat imaging 12 days later shows a nondisplaced fracture through the waist of the scaphoid. A diagram highlights arterial entry along the distal portion of the bone.</p><p><strong>Which complication is the proximal fragment at greatest risk of developing?</strong></p>"
AY26-B012-RENAL-STRUVITE-001	batch-012-05-struvite-calculi.json	"<p>A 39-year-old woman has recurrent urinary infections and now presents with fever, flank discomfort, and cloudy urine. Urinalysis shows a pH of 8.6 and rectangular coffin-lid crystals. CT demonstrates a branching calculus occupying the renal pelvis and calyces. Urine culture grows a motile gram-negative rod that produces urease.</p><p><strong>Which biochemical change most directly promotes formation of this calculus?</strong></p>"
AY26-B012-HEME-BURKITT-001	batch-012-06-burkitt-lymphoma.json	"<p>A 10-year-old boy develops rapidly increasing abdominal girth and early satiety over 3 weeks. Imaging shows a large ileocecal mass. Serum lactate dehydrogenase and uric acid are markedly elevated. Biopsy demonstrates a monomorphic population of medium-sized B cells with numerous interspersed tingible-body macrophages, producing a starry-sky appearance. Ki-67 staining approaches 100%.</p><p><strong>Which genomic event most likely drives this tumor's extreme proliferative rate?</strong></p>"
AY26-B012-HEME-APL-001	batch-012-07-acute-promyelocytic-leukemia.json	"<p>A 31-year-old woman presents with gingival bleeding, fatigue, and widespread bruising. Platelets are 24,000/mm3, fibrinogen is low, and D-dimer is markedly elevated. A smear shows abnormal promyelocytes containing bundles of Auer rods. Cytogenetic analysis identifies t(15;17). Treatment is started immediately while supportive blood products are given.</p><p><strong>How does the disease-specific therapy reverse the leukemic block?</strong></p>"
AY26-B012-HEME-AMYLOID-001	batch-012-08-al-amyloidosis.json	"<p>A 66-year-old man has progressive edema, orthostatic lightheadedness, numb feet, and exertional dyspnea. Urine protein excretion is 5.8 g/day. Echocardiography shows thick ventricular walls with low-voltage electrocardiographic complexes. Serum immunofixation identifies a monoclonal lambda light chain. Abdominal fat-pad biopsy contains Congo-red-positive material with apple-green birefringence.</p><p><strong>Which protein is the principal precursor of the deposited fibrils?</strong></p>"
AY26-B012-ID-FALCIPARUM-001	batch-012-09-plasmodium-falciparum-malaria.json	"<p>A 34-year-old aid worker returns from West Africa and develops fever, confusion, jaundice, and oliguria. Thin blood smear shows delicate ring forms, sometimes more than one in a single erythrocyte, and crescent-shaped gametocytes. Parasitemia is 8%. Brain imaging shows no focal lesion. The patient is treated urgently for severe malaria.</p><p><strong>Which parasite property most directly contributes to his neurologic dysfunction?</strong></p>"
AY26-B012-GI-CARCINOID-001	batch-012-10-carcinoid-syndrome.json	"<p>A 58-year-old woman has episodic flushing, watery diarrhea, wheezing, and a new systolic murmur that increases with inspiration. CT shows a small ileal neuroendocrine tumor and multiple liver lesions. Urinary 5-hydroxyindoleacetic acid is elevated. Review of older imaging shows that the intestinal tumor was present for years before systemic symptoms appeared.</p><p><strong>Why did the syndrome most likely become clinically apparent only after liver involvement developed?</strong></p>"
